run_id;window_years;is_benchmark;war_pct;training_time;f1_score
1;1;0;18.103448275862068;8565.441772222519;0.30656933784484863
2;1;1;18.103448275862068;7787.544054985046;0.30656933784484863
3;3;0;32.758620689655174;8423.54680609703;0.4935064911842346
4;3;1;32.758620689655174;7379.005899906158;0.4935064911842346
5;5;0;40.51724137931034;7856.779869794846;0.5766871571540833
6;5;1;40.51724137931034;7392.240569829941;0.5766871571540833
7;-1;0;21.982758620689655;8114.308016300201;0.3604240119457245
8;-1;1;21.982758620689655;7486.661222219467;0.3604240119457245
9;-3;0;36.637931034482754;10174.147612333298;0.5362776517868042
10;-3;1;36.637931034482754;7513.010100603104;0.5362776517868042
11;-5;0;42.672413793103445;13168.225216150284;0.598187267780304
12;-5;1;42.672413793103445;7512.746148586273;0.598187267780304
13;0;0;15.517241379310345;11672.615418195724;0.26865673065185547
14;0;1;15.517241379310345;7433.952147722244;0.26865673065185547
15;2;0;24.568965517241377;8288.741554260254;0.3944636881351471
16;2;1;24.568965517241377;7392.330854654312;0.3944636881351471
17;4;0;37.5;11514.543224096298;0.5454545617103577
18;4;1;37.5;10352.359385490417;0.5454545617103577
19;-2;0;31.03448275862069;13271.9132874012;0.4736841917037964
20;-2;1;31.03448275862069;10193.367446184158;0.4736841917037964
21;-4;0;39.224137931034484;11037.53440284729;0.5634675025939941
22;-4;1;39.224137931034484;10803.343314170837;0.5634675025939941
